scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,pair,slope,correlation
growth,0,0,true,poisson_shared,g20_o1,20,False,True,"1,2",0.13022377457467216,0.44818171612654717
growth,0,0,true,poisson_shared,g20_o1,20,False,True,"2,2",-0.025341617635949856,-0.07221860496864509
growth,0,0,true,poisson_shared,g08_o2,8,False,False,"0,0",-0.055101196151706465,-0.29527307094559
growth,0,0,true,poisson_shared,g08_o2,8,False,False,"0,1",-6.560052693131037,-0.1578067955188091
growth,0,0,true,poisson_shared,g08_o2,8,False,False,"0,2",0.12912587693251448,0.41215238568951207
growth,0,0,true,poisson_shared,g08_o2,8,False,False,"1,1",-0.34815806906597174,-0.7392484579918379
growth,0,0,true,poisson_shared,g08_o2,8,False,False,"1,2",0.10701087848569035,0.39871330733962296
growth,0,0,true,poisson_shared,g08_o2,8,False,False,"2,2",0.3081780992863119,0.648552020285927
growth,0,0,true,poisson_shared,g14_o1,14,False,True,"0,0",-0.05297886524841812,-0.2870410069119612
growth,0,0,true,poisson_shared,g14_o1,14,False,True,"0,1",-2.9524922366784168,-0.18973476288373484
growth,0,0,true,poisson_shared,g14_o1,14,False,True,"0,2",0.13579442770766004,0.42534496977136893
growth,0,0,true,poisson_shared,g14_o1,14,False,True,"1,1",-0.11730913356420847,-0.5442758422173596
growth,0,0,true,poisson_shared,g14_o1,14,False,True,"1,2",0.13977910932824167,0.4326792255194339
growth,0,0,true,poisson_shared,g14_o1,14,False,True,"2,2",-0.0465703107494466,-0.16032994719714388
growth,0,0,true,poisson_separate,g03_o1,3,False,True,"0,0",-0.028447702033531374,-0.1492855303828748
growth,0,0,true,poisson_separate,g03_o1,3,False,True,"0,1",-0.40779301267214485,-0.5976003950096032
growth,0,0,true,poisson_separate,g03_o1,3,False,True,"0,2",0.17687281022760026,0.53444346444783
growth,0,0,true,poisson_separate,g03_o1,3,False,True,"1,1",-0.016207873300567006,-0.10274643597293731
growth,0,0,true,poisson_separate,g03_o1,3,False,True,"1,2",0.15805604868707687,0.5586285784299713
growth,0,0,true,poisson_separate,g03_o1,3,False,True,"2,2",-0.05396205311579091,-0.2726576497278871
growth,0,0,true,poisson_separate,g13_o1,13,False,True,"0,0",-0.02523480347473366,-0.134735962123188
growth,0,0,true,poisson_separate,g13_o1,13,False,True,"0,1",-0.412696789839155,-0.5967349213997283
growth,0,0,true,poisson_separate,g13_o1,13,False,True,"0,2",0.17684626956087332,0.5343824602126327
growth,0,0,true,poisson_separate,g13_o1,13,False,True,"1,1",-0.02651372656857218,-0.16467501451301972
growth,0,0,true,poisson_separate,g13_o1,13,False,True,"1,2",0.15723363183759098,0.5583656927544992
growth,0,0,true,poisson_separate,g13_o1,13,False,True,"2,2",-0.062112670496215744,-0.30816263015449485
