scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,node,branch,component,mean,lower,upper,t0,t1,young,old,harmonic,arithmetic
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,root,,IBD,14149.0279686648,13521.240250578869,14953.908847735755,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,a,,SNP,4555.732429895166,4323.395122541454,5115.117518046025,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,b,,SNP,360937.8065993125,186041.5292723115,482239.28862254723,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,c,,SNP,6625.750159171882,5951.362844068492,7352.74488896139,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,a.1,,SNP,12591.229630722755,11633.849544744877,13537.735560250852,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,a.2,,SNP,7511.583059757793,7161.685560205005,7978.735231885315,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,n2,,SNP,7466.011812643644,7113.100296914267,7971.509762558965,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,n1,,SNP,29066.407144784615,24634.951011219506,33003.34924366778,,,,,,
growth,0,9,hapibd,poisson_separate,g09_o2,9,False,True,root,,SNP,15357.570215274074,14280.12743723797,16347.399990154618,,,,,,
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,a,a,IBD,45797.142662316895,39254.94120097516,63098.680855397186,0,50,150000.0,15000.000000000004,38376.41397765426,58629.761532959434
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,b,b,IBD,17950.788943864623,15750.487050235155,19093.200634065885,0,30,60000.0,15000.0,20775.52266426098,23320.21843868784
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,c,c,IBD,15362.537097916553,14437.601745248803,17000.785952407645,0,100,15000.0,15000.0,15000.000000000005,15000.000000000005
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,b.1,b.1,IBD,13060.87651014426,11482.208805161237,14014.627178926376,30,50,15000.0,15000.0,14999.999999999998,15000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,b.2,b.2,IBD,17174.086690874658,14031.305789442928,17776.474016004577,30,100,5000.0,5000.0,5000.000000000001,5000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,n1,left,IBD,12134.9701892664,11167.021432419608,13360.235931577152,50,300,15000.0,15000.0,14999.999999999996,15000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,n2,right,IBD,11022.624132857474,9828.444665508894,11473.319853466426,100,300,15000.0,15000.0,15000.000000000004,15000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,root,root,IBD,13591.312298292332,13145.614436183183,13959.903006775214,300,,15000.0,15000.0,15000.0,15000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,a,a,SNP,28624.945617100704,23005.78106857349,30945.434670231,0,50,150000.0,15000.000000000004,38376.41397765426,58629.761532959434
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,b,b,SNP,19468.07204563768,18091.23898518642,20359.083873884203,0,30,60000.0,15000.0,20775.52266426098,23320.21843868784
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,c,c,SNP,8778.094701889939,8167.654172146634,9215.233481240952,0,100,15000.0,15000.0,15000.000000000005,15000.000000000005
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,b.1,b.1,SNP,24343.544969650393,21249.76246435852,26427.605826802093,30,50,15000.0,15000.0,14999.999999999998,15000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,b.2,b.2,SNP,13229.577886807905,11954.844965783488,14445.811963329941,30,100,5000.0,5000.0,5000.000000000001,5000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,n1,left,SNP,24512.00750879976,21270.834809026575,26720.51467223536,50,300,15000.0,15000.0,14999.999999999996,15000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,n2,right,SNP,12542.962538412823,11585.47215524067,12974.886907640095,100,300,15000.0,15000.0,15000.000000000004,15000.0
growth,0,9,hapibd,poisson_separate,g15_o1,15,False,False,root,root,SNP,15425.893054602962,15138.692516172645,16166.997092194631,300,,15000.0,15000.0,15000.0,15000.0
growth,0,9,hapibd,poisson_separate,g01_o1,1,False,True,a,,IBD,32840.92607420295,29139.53627638779,39651.348617134674,,,,,,
growth,0,9,hapibd,poisson_separate,g01_o1,1,False,True,b,,IBD,20923.844177393254,18880.203305130253,24603.42604332628,,,,,,
growth,0,9,hapibd,poisson_separate,g01_o1,1,False,True,c,,IBD,15605.43519094331,14390.762359046825,16403.180321404845,,,,,,
