scenario,pool,replicate,source,variant,search,rank,graph,newick,best_order,reliable,logz,elbo
growth,0,0,hapibd,poisson_shared,loop_omitted,18,3,"((b,c),a)",g03_o1,False,-1176.7213608610225,-1183.9218454771246
growth,0,0,hapibd,poisson_shared,loop_omitted,19,12,"(((a,c),b.1),b.2)",g12_o1,False,-1156.3628155482586,-1227.6595729545272
growth,0,0,hapibd,poisson_shared,loop_omitted,20,8,"(((b,c),a.1),a.2)",g08_o1,False,-1175.761719640657,-1246.0554827239157
growth,0,0,hapibd,poisson_shared,loop_omitted,21,2,"((a,c),b)",g02_o1,False,-1226.7002440646115,-1305.940143276685
growth,0,0,hapibd,poisson_shared,including_loop,1,15,"((a,b.1),(b.2,c))",g15_o1,False,-194.83885794728195,-207.12719224832313
growth,0,0,hapibd,poisson_shared,including_loop,2,22,"b-loop + ((a,b.1),(b.2,c))",g22_o1,False,-200.32658500911805,-221.06394839635104
growth,0,0,hapibd,poisson_shared,including_loop,3,9,"((a.1,b),(a.2,c))",g09_o1,False,-328.916720076485,-403.34780319205953
growth,0,0,hapibd,poisson_shared,including_loop,4,17,"(((a,c.1),b),c.2)",g17_o1,False,-401.2275890838004,-419.2714236254891
growth,0,0,hapibd,poisson_shared,including_loop,5,19,"(((b,c.1),a),c.2)",g19_o1,False,-452.38758086491765,-465.9476544567735
growth,0,0,hapibd,poisson_shared,including_loop,6,16,"(((a,b),c.1),c.2)",g16_o2,False,-446.80475582287,-477.4500528017475
growth,0,0,hapibd,poisson_shared,including_loop,7,10,"(((a,b.1),b.2),c)",g10_o1,False,-224.4831315005478,-688.4037700039424
growth,0,0,hapibd,poisson_shared,including_loop,8,11,"(((a,b.1),c),b.2)",g11_o1,False,-227.33510575190445,-694.2847218807386
growth,0,0,hapibd,poisson_shared,including_loop,9,1,"((a,b),c)",g01_o1,False,-440.8322027676337,-791.1425320489637
growth,0,0,hapibd,poisson_shared,including_loop,10,4,"(((a.1,b),a.2),c)",g04_o1,False,-397.49734089527163,-796.7800274638809
growth,0,0,hapibd,poisson_shared,including_loop,11,5,"(((a.1,b),c),a.2)",g05_o1,False,-407.7413950624444,-845.6427115815108
growth,0,0,hapibd,poisson_shared,including_loop,12,13,"(((b.1,c),a),b.2)",g13_o1,False,-756.7700915799885,-845.7703158924731
growth,0,0,hapibd,poisson_shared,including_loop,13,14,"(((b.1,c),b.2),a)",g14_o1,False,-763.2884157706766,-848.5367772032338
growth,0,0,hapibd,poisson_shared,including_loop,14,18,"(((a,c.1),c.2),b)",g18_o1,False,-793.6790756444143,-863.583769603598
growth,0,0,hapibd,poisson_shared,including_loop,15,6,"(((a.1,c),a.2),b)",g06_o1,False,-861.2025083444586,-886.0250968163831
growth,0,0,hapibd,poisson_shared,including_loop,16,21,"((a,c.1),(b,c.2))",g21_o2,False,-853.0043161159314,-932.8984837740571
growth,0,0,hapibd,poisson_shared,including_loop,17,20,"(((b,c.1),c.2),a)",g20_o1,False,-878.8419477702257,-937.5256223289085
growth,0,0,hapibd,poisson_shared,including_loop,18,7,"(((a.1,c),b),a.2)",g07_o1,False,-848.871515915669,-993.2164130513871
growth,0,0,hapibd,poisson_shared,including_loop,19,3,"((b,c),a)",g03_o1,False,-1176.7213608610225,-1183.9218454771246
growth,0,0,hapibd,poisson_shared,including_loop,20,12,"(((a,c),b.1),b.2)",g12_o1,False,-1156.3628155482586,-1227.6595729545272
growth,0,0,hapibd,poisson_shared,including_loop,21,8,"(((b,c),a.1),a.2)",g08_o1,False,-1175.761719640657,-1246.0554827239157
growth,0,0,hapibd,poisson_shared,including_loop,22,2,"((a,c),b)",g02_o1,False,-1226.7002440646115,-1305.940143276685
growth,0,0,hapibd,poisson_separate,loop_omitted,1,15,"((a,b.1),(b.2,c))",g15_o1,False,-213.41118163422578,-231.10649540150584
growth,0,0,hapibd,poisson_separate,loop_omitted,2,11,"(((a,b.1),c),b.2)",g11_o1,False,-233.10362904688526,-249.55165274411203
growth,0,0,hapibd,poisson_separate,loop_omitted,3,10,"(((a,b.1),b.2),c)",g10_o1,False,-224.60209654741172,-255.29345436982285
growth,0,0,hapibd,poisson_separate,loop_omitted,4,19,"(((b,c.1),a),c.2)",g19_o1,False,-274.0844115100031,-306.7701904741555
growth,0,0,hapibd,poisson_separate,loop_omitted,5,17,"(((a,c.1),b),c.2)",g17_o1,False,-272.47281672630766,-312.58493243138463
growth,0,0,hapibd,poisson_separate,loop_omitted,6,9,"((a.1,b),(a.2,c))",g09_o2,False,-269.60000175807755,-320.4280197169968
growth,0,0,hapibd,poisson_separate,loop_omitted,7,1,"((a,b),c)",g01_o1,False,-252.255661175223,-371.6776934906816
growth,0,0,hapibd,poisson_separate,loop_omitted,8,4,"(((a.1,b),a.2),c)",g04_o1,False,-269.8795989691662,-377.3214169790213
growth,0,0,hapibd,poisson_separate,loop_omitted,9,16,"(((a,b),c.1),c.2)",g16_o1,False,-266.16047561820756,-385.6140121957767
growth,0,0,hapibd,poisson_separate,loop_omitted,10,5,"(((a.1,b),c),a.2)",g05_o1,False,-266.8623591181371,-431.65416166273565
growth,0,0,hapibd,poisson_separate,loop_omitted,11,3,"((b,c),a)",g03_o1,False,-568.000887080674,-586.2554805783146
growth,0,0,hapibd,poisson_separate,loop_omitted,12,7,"(((a.1,c),b),a.2)",g07_o1,False,-586.9531434256951,-619.2181252136005
growth,0,0,hapibd,poisson_separate,loop_omitted,13,14,"(((b.1,c),b.2),a)",g14_o1,False,-588.0997112636867,-625.2644138686801
growth,0,0,hapibd,poisson_separate,loop_omitted,14,2,"((a,c),b)",g02_o1,False,-571.8876987898517,-627.9796461632066
growth,0,0,hapibd,poisson_separate,loop_omitted,15,13,"(((b.1,c),a),b.2)",g13_o1,False,-575.3006543658953,-635.6327856333834
growth,0,0,hapibd,poisson_separate,loop_omitted,16,21,"((a,c.1),(b,c.2))",g21_o2,False,-583.9485699905629,-636.28850276259
growth,0,0,hapibd,poisson_separate,loop_omitted,17,18,"(((a,c.1),c.2),b)",g18_o1,False,-588.1791638925846,-637.9587224048406
growth,0,0,hapibd,poisson_separate,loop_omitted,18,20,"(((b,c.1),c.2),a)",g20_o1,False,-584.3480041893546,-836.5454198561729
growth,0,0,hapibd,poisson_separate,loop_omitted,19,8,"(((b,c),a.1),a.2)",g08_o1,False,-585.2315929014069,-845.1810290325748
growth,0,0,hapibd,poisson_separate,loop_omitted,20,12,"(((a,c),b.1),b.2)",g12_o1,False,-589.9059244004358,-864.0949221812402
growth,0,0,hapibd,poisson_separate,loop_omitted,21,6,"(((a.1,c),a.2),b)",g06_o1,False,-587.6713406668798,-955.4846780836112
growth,0,0,hapibd,poisson_separate,including_loop,1,15,"((a,b.1),(b.2,c))",g15_o1,False,-213.41118163422578,-231.10649540150584
growth,0,0,hapibd,poisson_separate,including_loop,2,11,"(((a,b.1),c),b.2)",g11_o1,False,-233.10362904688526,-249.55165274411203
growth,0,0,hapibd,poisson_separate,including_loop,3,10,"(((a,b.1),b.2),c)",g10_o1,False,-224.60209654741172,-255.29345436982285
growth,0,0,hapibd,poisson_separate,including_loop,4,22,"b-loop + ((a,b.1),(b.2,c))",g22_o2,False,-231.05367465845939,-269.45309176801527
growth,0,0,hapibd,poisson_separate,including_loop,5,19,"(((b,c.1),a),c.2)",g19_o1,False,-274.0844115100031,-306.7701904741555
growth,0,0,hapibd,poisson_separate,including_loop,6,17,"(((a,c.1),b),c.2)",g17_o1,False,-272.47281672630766,-312.58493243138463
growth,0,0,hapibd,poisson_separate,including_loop,7,9,"((a.1,b),(a.2,c))",g09_o2,False,-269.60000175807755,-320.4280197169968
growth,0,0,hapibd,poisson_separate,including_loop,8,1,"((a,b),c)",g01_o1,False,-252.255661175223,-371.6776934906816
growth,0,0,hapibd,poisson_separate,including_loop,9,4,"(((a.1,b),a.2),c)",g04_o1,False,-269.8795989691662,-377.3214169790213
growth,0,0,hapibd,poisson_separate,including_loop,10,16,"(((a,b),c.1),c.2)",g16_o1,False,-266.16047561820756,-385.6140121957767
growth,0,0,hapibd,poisson_separate,including_loop,11,5,"(((a.1,b),c),a.2)",g05_o1,False,-266.8623591181371,-431.65416166273565
growth,0,0,hapibd,poisson_separate,including_loop,12,3,"((b,c),a)",g03_o1,False,-568.000887080674,-586.2554805783146
growth,0,0,hapibd,poisson_separate,including_loop,13,7,"(((a.1,c),b),a.2)",g07_o1,False,-586.9531434256951,-619.2181252136005
growth,0,0,hapibd,poisson_separate,including_loop,14,14,"(((b.1,c),b.2),a)",g14_o1,False,-588.0997112636867,-625.2644138686801
growth,0,0,hapibd,poisson_separate,including_loop,15,2,"((a,c),b)",g02_o1,False,-571.8876987898517,-627.9796461632066
