scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,lp_ibd,lp_snp,chi2_ibd,chi2_snp
growth,0,6,true,poisson_separate,g01_o1,1,False,True,-220.3378942182797,19.91740541674766,147.16375651091917,53.33368049295344
growth,0,6,true,poisson_separate,g11_o1,11,False,True,-212.7252526017137,40.753155025666125,135.7178736180891,11.662181275062837
growth,0,6,true,poisson_separate,g10_o1,10,False,True,-211.31897586975396,44.84726550244375,137.3200934431666,3.4739603215043324
growth,0,6,true,poisson_separate,g04_o1,4,False,True,-215.60365415643335,18.706672000171842,150.45773079039506,55.75514732606644
growth,0,6,true,poisson_separate,g20_o1,20,False,True,-547.2423690427473,20.515409909917885,963.3687214426456,52.137671506570946
growth,0,6,true,poisson_separate,g08_o2,8,False,False,-555.0788352717173,21.3224617404127,888.3463492514608,50.523567845589284
growth,0,6,true,poisson_separate,g14_o1,14,False,True,-545.689560547999,18.923501807434384,911.9560154941341,55.32148771154452
growth,0,6,hapibd,poisson_shared,g03_o1,3,False,True,-985.3299677504518,-145.06825506154513,151734.610749321,383.3050014493006
growth,0,6,hapibd,poisson_shared,g13_o1,13,False,True,-680.8838111745944,33.95368356686515,23944.815588149682,25.261124192747435
growth,0,6,hapibd,poisson_shared,g07_o1,7,False,True,-677.7389771117541,-87.73302381061531,4046.153000815631,268.6345389476901
growth,0,6,hapibd,poisson_shared,g17_o1,17,False,True,-290.8545490652973,-55.53419230252065,408.52048318126197,204.23687593147218
growth,0,6,hapibd,poisson_shared,g06_o1,6,False,True,-682.8674419173342,-95.94062627280081,3470.1376847803194,285.0497438718338
growth,0,6,hapibd,poisson_shared,g22_o1,22,False,True,-196.42468891584775,42.80076737783174,119.82678602113515,7.566956570821735
growth,0,6,hapibd,poisson_shared,g16_o1,16,False,False,-303.58385613827625,-110.32960885517107,328.10594532808136,313.8277090368066
growth,0,6,hapibd,poisson_shared,g02_o1,2,False,True,-988.2679349943512,-184.31406006991404,49869.221569859954,461.796611465007
growth,0,6,hapibd,poisson_shared,g12_o1,12,False,True,-926.155154466869,-85.15363157516576,949041.1254051791,263.4757544766471
growth,0,6,hapibd,poisson_shared,g15_o2,15,False,False,-210.0263751800892,43.99672602548776,135.71053054685586,5.1750392754380785
growth,0,6,hapibd,poisson_shared,g21_o2,21,False,False,-600.5897813948397,-79.37513134603476,1713.547243419738,251.9187540186797
growth,0,6,hapibd,poisson_shared,g09_o1,9,False,True,-236.12858745868851,-18.038855732769257,230.54418160933662,129.24620279194642
growth,0,6,hapibd,poisson_shared,g19_o1,19,False,True,-304.99253916697853,-119.2286673375666,314.8762744974976,331.62582600066736
growth,0,6,hapibd,poisson_shared,g08_o1,8,False,True,-976.503980275706,-130.8971857995191,66368.2398136332,354.9628629258291
growth,0,6,hapibd,poisson_shared,g18_o1,18,False,True,-570.761137600583,-83.1128943874881,1076.5039351112773,259.3942801012058
growth,0,6,hapibd,poisson_shared,g16_o2,16,False,True,-317.27485656505326,-98.51635420766297,352.9604599811189,290.201199741827
growth,0,6,hapibd,poisson_shared,g22_o2,22,False,False,-212.2347805823295,44.62822215069004,139.0149033613149,3.912047025063923
growth,0,6,hapibd,poisson_shared,g12_o2,12,False,False,-1016.465346744092,-132.33467681183973,174187.30754626964,357.83784495007427
growth,0,6,hapibd,poisson_shared,g05_o1,5,False,True,-231.17038523313465,-25.914673403309124,217.85561033665337,144.99783813279163
growth,0,6,hapibd,poisson_shared,g21_o1,21,False,True,-598.7391640595044,-61.60183970482144,994.2021824810727,216.37217073601062
growth,0,6,hapibd,poisson_shared,g09_o2,9,False,False,-291.39856257027566,-53.90475398255944,415.4794334802091,200.97799929155664
growth,0,6,hapibd,poisson_shared,g15_o1,15,False,True,-197.3766038737958,44.812906724964584,115.80925607126767,3.54267787647714
growth,0,6,hapibd,poisson_shared,g01_o1,1,False,True,-310.64283444044105,-107.40354043765221,367.4220481574254,307.9755722014269
growth,0,6,hapibd,poisson_shared,g11_o1,11,False,True,-214.8687208730395,44.129540330210745,193.07119848723767,4.909410666016678
growth,0,6,hapibd,poisson_shared,g10_o1,10,False,True,-208.91443386232422,45.43811381163146,175.8376828409342,2.2922637031820208
growth,0,6,hapibd,poisson_shared,g04_o1,4,False,True,-278.6572443691067,-57.24292142025243,362.35090823354756,207.65433416658615
growth,0,6,hapibd,poisson_shared,g20_o1,20,False,True,-703.3329724942971,-98.64347729833283,6107.011327550548,290.45544592286984
growth,0,6,hapibd,poisson_shared,g08_o2,8,False,False,-1031.969161150161,16.23587900473431,1483.881836371176,60.69673331693286
growth,0,6,hapibd,poisson_shared,g14_o1,14,False,True,-671.1392114499577,26.95669872296321,16457.268144294332,39.255093880469005
growth,0,6,hapibd,poisson_separate,g03_o1,3,False,True,-520.57054910547,19.813362746139,817.7253393789845,53.541765834071136
growth,0,6,hapibd,poisson_separate,g13_o1,13,False,True,-520.5718484609067,19.623274306359054,792.8186718340469,53.92194271363339
growth,0,6,hapibd,poisson_separate,g07_o1,7,False,True,-507.00845417703783,19.670149555686628,674.9901779020037,53.828192215022796
growth,0,6,hapibd,poisson_separate,g17_o1,17,False,True,-209.56883151743116,18.793331004375553,137.2347148522619,55.58182931769816
growth,0,6,hapibd,poisson_separate,g06_o1,6,False,True,-506.12238676331197,19.574515836427828,763.7328041152202,54.01945965360583
growth,0,6,hapibd,poisson_separate,g22_o1,22,False,False,-195.1949533917161,44.46559444616905,114.09681716182445,4.237302434076752
