scenario,pool,replicate,source,variant,candidate,graph,status,reliable,ess,pareto_k,seconds
growth,0,1,hapibd,poisson_separate,g17_o1,17,ok,False,1.1207907064534774,2.2986167538570816,34.74293570779264
growth,0,1,hapibd,poisson_separate,g06_o1,6,ok,False,2.5148424697221263,2.246984203426648,32.89508254174143
growth,0,1,hapibd,poisson_separate,g22_o1,22,ok,False,5.430992758734647,2.2437131633589917,39.24601587560028
growth,0,1,hapibd,poisson_separate,g16_o1,16,ok,False,2.7114596181392154,1.9347216158114084,30.570211665704846
growth,0,1,hapibd,poisson_separate,g02_o1,2,ok,False,1.1949318065902719,1.622657866137361,17.90084445849061
growth,0,1,hapibd,poisson_separate,g12_o1,12,ok,False,4.06398705755841,2.4155923313559127,44.41771199926734
growth,0,1,hapibd,poisson_separate,g15_o2,15,ok,False,9.005022098514884,1.7668481987085967,29.223146207630634
growth,0,1,hapibd,poisson_separate,g21_o2,21,ok,False,2.292877748707082,2.9432309280629134,41.84249120764434
growth,0,1,hapibd,poisson_separate,g09_o1,9,ok,False,1.649995968698898,1.8901033093656752,33.206015792675316
growth,0,1,hapibd,poisson_separate,g19_o1,19,ok,False,1.9919570011074645,2.3782650489143307,36.66868941579014
growth,0,1,hapibd,poisson_separate,g08_o1,8,ok,False,3.8431728563436693,2.6132591998251455,34.542630875483155
growth,0,1,hapibd,poisson_separate,g18_o1,18,ok,False,1.5924871998467407,1.9647724661216173,41.1476977923885
growth,0,1,hapibd,poisson_separate,g16_o2,16,ok,False,9.822291561059775,2.8519628411042066,34.96128125023097
growth,0,1,hapibd,poisson_separate,g22_o2,22,ok,False,1.8266248137648768,2.167383639524022,41.112934375181794
growth,0,1,hapibd,poisson_separate,g12_o2,12,ok,False,4.335998357361611,2.9680736142548496,40.90825808327645
growth,0,1,hapibd,poisson_separate,g05_o1,5,ok,False,1.0331587905999498,1.9060540565638375,34.43295854050666
growth,0,1,hapibd,poisson_separate,g21_o1,21,ok,False,2.080832580785565,1.9515970735254882,38.3581699160859
growth,0,1,hapibd,poisson_separate,g09_o2,9,ok,False,3.8190858494236113,2.106609996207993,30.55061754118651
growth,0,1,hapibd,poisson_separate,g15_o1,15,ok,False,4.525402927591744,1.8007098671716284,25.3055323343724
growth,0,1,hapibd,poisson_separate,g01_o1,1,ok,False,12.541917865710719,1.8483884266066595,16.269333666190505
growth,0,1,hapibd,poisson_separate,g11_o1,11,ok,False,3.3320323686683566,2.069576263086424,30.34239870775491
growth,0,1,hapibd,poisson_separate,g10_o1,10,ok,False,4.014743612935021,1.9770212363968822,30.445965041406453
growth,0,1,hapibd,poisson_separate,g04_o1,4,ok,False,2.6543542465669487,1.982809113248565,30.653916832990944
growth,0,1,hapibd,poisson_separate,g20_o1,20,ok,False,1.2154775909436075,1.9342515916067529,34.06094875000417
growth,0,1,hapibd,poisson_separate,g08_o2,8,ok,False,1.113353712169989,3.364805943352448,43.504563707858324
growth,0,1,hapibd,poisson_separate,g14_o1,14,ok,False,2.8902252070138417,1.9257551619668056,34.81074866745621
growth,0,2,true,poisson_shared,g03_o1,3,ok,False,21.363379914480966,1.2135880382305073,15.106319417245686
growth,0,2,true,poisson_shared,g13_o1,13,ok,False,2.9512994641582417,1.7276168547991662,37.596344416961074
growth,0,2,true,poisson_shared,g07_o1,7,ok,False,15.631759517217956,1.6066747891565902,44.10358979180455
growth,0,2,true,poisson_shared,g17_o1,17,ok,False,4.467652576534593,1.6494408687740703,35.107713958248496
growth,0,2,true,poisson_shared,g06_o1,6,ok,False,1.873817327586964,1.7135377055547352,33.21379645727575
growth,0,2,true,poisson_shared,g22_o1,22,ok,False,3.209483615064598,2.1863667450236797,20.258769374340773
growth,0,2,true,poisson_shared,g16_o1,16,ok,False,2.7191407049689453,1.8097999260097015,31.86772287543863
growth,0,2,true,poisson_shared,g02_o1,2,ok,False,1.0041537313502416,1.3040183248284274,14.15335145778954
growth,0,2,true,poisson_shared,g12_o1,12,ok,False,23.539495356761822,2.0119264858375927,39.530031541362405
growth,0,2,true,poisson_shared,g15_o2,15,ok,False,14.33172010166973,1.602347666831621,25.650235666893423
growth,0,2,true,poisson_shared,g21_o2,21,ok,False,2.05750599188656,1.7539224622071576,32.2253507906571
growth,0,2,true,poisson_shared,g09_o1,9,ok,False,3.7170002421334796,2.011338198496264,33.67025762517005
growth,0,2,true,poisson_shared,g19_o1,19,ok,False,4.142939067457586,1.9350378821977972,29.008949749171734
growth,0,2,true,poisson_shared,g08_o1,8,ok,False,13.547755806743014,1.951395760448688,32.1956601254642
growth,0,2,true,poisson_shared,g18_o1,18,ok,False,5.550471607916765,1.8406810980497161,36.81125845760107
